item,subject,semantic,frequency,phonology,simdrop,troyer,participant
cat,50007,0.4794151649543577,3.529,0.25,1,1,1.0
bird,50007,0.5146263446929447,3.365,0.0001,0,1,0.0
dog,50007,0.4504405594561322,3.993,0.0001,1,1,0.0
alligator,50007,0.4920037136995301,2.253,0.1428571428571429,0,1,1.0
turtle,50007,0.5705016881928315,2.939,0.0001,0,0,0.0
zebra,50007,0.445063201687724,2.111,0.0001,0,1,1.0
horse,50007,0.4259969178930475,3.676,0.1999999999999999,0,1,0.0
fish,50007,0.1812901127576096,3.629,0.0001,1,1,1.0
dolphin,50007,0.5913070980884776,2.152,0.1666666666666666,0,0,0.0
octopus,50007,0.4351201978195016,2.0,0.1428571428571429,0,0,0.0
shark,50007,0.391868335367896,2.884,0.0001,1,0,0.0
stingray,50007,0.6708774886655972,1.204,0.1666666666666666,0,0,0.0
starfish,50007,0.372907899699358,1.591,0.2857142857142857,1,0,0.0
clam,50007,0.4144509292507699,2.303,0.0001,0,0,0.0
sheep,50007,0.1594418106286251,2.836,0.0001,1,1,1.0
horse,50007,0.4761641478709153,3.676,0.0001,0,0,0.0
chicken,50007,0.2567348316012325,3.498,0.0001,1,0,0.0
pig,50007,0.5867901539062853,3.3,0.1999999999999999,0,0,0.0
cow,50007,0.6542097513765606,3.115,0.0001,0,0,1.0
yak,50007,0.4082154746357987,1.857,0.0001,0,0,1.0
lizard,50007,0.2555519816159526,2.394,0.0001,1,1,1.0
guinea_pig,50007,0.4008923499289786,3.291812687,0.0999999999999999,0,1,1.0
frog,50007,0.3220256223226203,2.781,0.0001,1,1,1.0
bug,50007,0.3488231156101429,3.029,0.25,0,1,0.0
zebra,50007,0.1799279945103085,2.111,0.1999999999999999,1,1,1.0
snake,50007,0.4074700953930825,3.057,0.0001,0,1,1.0
rat,50007,0.5620485630043045,3.221,0.0001,0,1,0.0
butterfly,50007,0.2453648207277479,2.45,0.1428571428571429,1,1,1.0
bee,50007,0.4430803711974346,2.724,0.1428571428571429,0,0,0.0
pufferfish,50007,0.2511114230270734,2.33243846,0.0001,1,1,1.0
beaver,50007,0.275879148750781,2.393,0.1428571428571429,0,1,1.0
possum,50007,0.5048505831550512,2.025,0.0001,0,1,1.0
squirrel,50007,0.5950559915124516,2.447,0.1666666666666666,0,1,0.0
raccoon,50007,0.6657680782255764,1.869,0.0001,0,0,0.0
bunny,50007,0.500497151431468,2.976,0.0001,0,1,0.0
salamander,50007,0.2963560703468775,0.954,0.1111111111111111,1,1,1.0
spider,50007,0.4945731246861222,2.713,0.3333333333333333,0,1,1.0
kangaroo,50007,0.4049937518181122,2.075,0.1666666666666666,1,1,1.0
koala_bear,50007,0.5491559071282054,2.053078443,0.125,0,1,0.0
polar_bear,50007,0.3546683440379141,3.822886948,0.5,2,2,0.0
armadillo,50007,0.281124594460832,2.19,0.0001,2,2,1.0
